,nearest stattion,number of stops within 2kms
485,459.980517727331,20
486,590.8907829171698,19
487,496.8879926536334,19
488,459.00386487393337,20
489,459.00386487393337,20
490,459.980517727331,20
491,627.7403521102959,19
492,590.8907829171698,19
493,459.980517727331,20
494,1325.0041439734498,3
495,496.8879926536334,19
496,459.980517727331,20
497,627.7403521102959,19
498,297.9080048747603,19
499,782.680355302301,11
500,782.680355302301,11
501,127.42554041227498,15
502,459.980517727331,20
503,1586.4003236526619,1
504,627.7403521102959,19
505,Nothing within a 2km radius,0
506,590.8907829171698,19
507,459.980517727331,20
508,459.980517727331,20
509,590.8907829171698,19
510,848.9093293655321,11
511,848.9093293655321,11
512,848.9093293655321,11
513,1445.9932890417572,5
514,540.1894997542364,19
515,21.970507069846793,18
516,Nothing within a 2km radius,0
517,806.3829169369434,3
518,676.6519083901002,17
519,1154.6291403910514,3
520,1522.2445996118852,2
521,1134.6813267902196,5
522,1024.1120220840867,6
523,529.7511015395237,6
524,455.61483651729407,13
525,652.1012058424993,16
526,137.20833489971406,15
527,414.51398666605166,13
528,1470.4335161308159,5
529,326.3827471916052,15
530,Nothing within a 2km radius,0
531,1522.2445996118852,2
532,199.5611401969309,16
533,1979.529258543391,1
534,326.3827471916052,15
535,256.90637947747786,16
536,127.42554041227498,15
537,1746.8948512039317,1
538,Nothing within a 2km radius,0
539,423.0992497095103,5
540,1893.1148117595824,1
541,127.42554041227498,15
542,137.20833489971406,15
543,377.2128275697625,16
544,459.980517727331,20
545,127.42554041227498,15
546,Nothing within a 2km radius,0
547,540.1894997542364,19
548,848.9093293655321,11
549,848.9093293655321,11
550,848.9093293655321,11
551,459.980517727331,20
552,627.7403521102959,19
553,590.8907829171698,19
554,459.00386487393337,20
555,377.2128275697625,16
556,377.2128275697625,16
557,Nothing within a 2km radius,0
558,459.980517727331,20
559,627.7403521102959,19
560,459.980517727331,20
561,459.980517727331,20
562,576.620982494697,17
563,127.42554041227498,15
564,1820.2792051388324,2
565,627.7403521102959,19
566,459.00386487393337,20
567,590.8907829171698,19
568,485.5048564596688,18
569,485.5048564596688,18
570,485.5048564596688,18
571,590.8907829171698,19
572,459.980517727331,20
573,590.8907829171698,19
574,1582.9845767735653,3
575,459.980517727331,20
576,459.980517727331,20
577,459.980517727331,20
578,459.00386487393337,20
579,334.26970227996384,5
580,627.7403521102959,19
581,1815.217906930061,2
582,782.680355302301,11
583,297.9080048747603,19
584,493.2320729833961,4
585,627.7403521102959,19
586,496.8879926536334,19
587,529.7511015395237,6
588,137.20833489971406,15
589,873.5447496445347,5
590,334.26970227996384,5
591,1629.5606479228209,1
592,627.7403521102959,19
593,Nothing within a 2km radius,0
594,496.8879926536334,19
595,459.980517727331,20
596,459.980517727331,20
597,459.00386487393337,20
598,590.8907829171698,19
599,590.8907829171698,19
600,459.00386487393337,20
601,424.20031710741506,4
602,590.8907829171698,19
603,381.6369424282849,14
604,1656.966551316647,1
605,Nothing within a 2km radius,0
606,373.32525112729087,3
607,1656.966551316647,1
608,459.980517727331,20
609,1545.5352242653064,1
610,Nothing within a 2km radius,0
611,Nothing within a 2km radius,0
612,459.980517727331,20
613,590.8907829171698,19
614,627.7403521102959,19
615,590.8907829171698,19
616,590.8907829171698,19
617,459.00386487393337,20
618,627.7403521102959,19
619,540.1894997542364,19
620,Nothing within a 2km radius,0
621,459.980517727331,20
622,496.8879926536334,19
623,627.7403521102959,19
624,377.2128275697625,16
625,459.980517727331,20
626,540.1894997542364,19
627,627.7403521102959,19
628,590.8907829171698,19
629,459.980517727331,20
630,459.980517727331,20
631,459.980517727331,20
632,459.00386487393337,20
633,590.8907829171698,19
634,1581.7121687503322,5
635,1724.307729309507,1
636,459.00386487393337,20
637,1867.5675796072405,1
638,459.00386487393337,20
639,459.00386487393337,20
640,278.1871469588935,18
641,1858.9812629602272,1
642,1496.0403119203027,5
643,1875.2094283990727,1
644,127.42554041227498,15
645,560.2116495069697,19
646,1900.6091162085245,1
647,1581.7121687503322,5
648,424.20031710741506,4
649,459.00386487393337,20
650,560.2116495069697,19
651,459.980517727331,20
652,459.980517727331,20
653,590.8907829171698,19
654,496.8879926536334,19
655,590.8907829171698,19
656,459.980517727331,20
657,459.980517727331,20
658,459.980517727331,20
659,540.1894997542364,19
660,459.00386487393337,20
661,459.980517727331,20
662,540.1894997542364,19
663,390.02911445011284,19
664,521.5180378428413,19
665,496.8879926536334,19
666,459.980517727331,20
667,1121.4594964130965,7
668,1948.3756022167308,1
669,377.2128275697625,16
670,625.345949331088,17
671,Nothing within a 2km radius,0
672,540.1894997542364,19
673,496.8879926536334,19
674,381.6369424282849,14
675,540.1894997542364,19
676,459.00386487393337,20
677,1335.8823824855144,1
678,751.9052243100687,16
679,459.980517727331,20
680,627.7403521102959,19
681,1986.0483779474948,1
682,1610.8075290381253,2
683,1259.6987984095874,7
684,1961.6171098635286,1
685,1961.6171098635286,1
686,296.4596027112085,3
687,1610.8075290381253,2
688,1610.8075290381253,2
689,459.980517727331,20
690,459.980517727331,20
691,590.8907829171698,19
692,459.980517727331,20
693,590.8907829171698,19
694,459.980517727331,20
695,459.00386487393337,20
696,1712.4464382425808,2
697,459.980517727331,20
698,782.680355302301,11
699,1506.1034800958646,3
700,Nothing within a 2km radius,0
701,848.9093293655321,11
702,Nothing within a 2km radius,0
703,848.9093293655321,11
704,1760.4919434461385,1
705,499.17811349870783,4
706,499.17811349870783,4
707,Nothing within a 2km radius,0
708,1408.8579915091425,3
709,459.980517727331,20
710,Nothing within a 2km radius,0
711,496.8879926536334,19
712,961.8046782659851,7
713,627.7403521102959,19
714,824.7647638681335,7
715,792.1681283823231,3
716,Nothing within a 2km radius,0
717,152.43613587350288,16
718,Nothing within a 2km radius,0
719,Nothing within a 2km radius,0
720,Nothing within a 2km radius,0
721,961.8046782659851,7
722,585.6633518022207,12
723,1812.7892391935509,1
724,Nothing within a 2km radius,0
725,887.3959433192415,8
726,127.42554041227498,15
727,1717.8566870124578,4
728,381.6369424282849,14
729,627.7403521102959,19
730,459.980517727331,20
731,590.8907829171698,19
732,459.00386487393337,20
733,1166.8853286366852,3
734,521.5180378428413,19
735,459.980517727331,20
736,615.5817041165434,5
737,1902.3984707347697,1
738,1867.6711537139643,1
739,1668.6185234831526,2
740,127.42554041227498,15
741,459.980517727331,20
742,590.8907829171698,19
743,590.8907829171698,19
744,459.980517727331,20
745,459.00386487393337,20
746,459.980517727331,20
747,297.9080048747603,19
748,381.6369424282849,14
749,459.980517727331,20
750,459.980517727331,20
751,496.8879926536334,19
752,1144.2303097071742,5
753,Nothing within a 2km radius,0
754,Nothing within a 2km radius,0
755,683.2895597987246,17
756,848.9093293655321,11
757,127.42554041227498,15
758,Nothing within a 2km radius,0
759,1543.1492709645163,1
760,676.6377189772702,10
761,493.2320729833961,4
762,540.1894997542364,19
763,Nothing within a 2km radius,0
764,Nothing within a 2km radius,0
765,381.6369424282849,14
766,381.6369424282849,14
767,1351.0470353285168,3
768,1152.1977470578795,8
769,824.7034181391865,14
770,496.8879926536334,19
771,590.8907829171698,19
772,546.5320632329945,18
773,459.00386487393337,20
774,459.00386487393337,20
775,459.980517727331,20
776,256.90637947747786,16
777,155.77614669146348,19
778,377.2128275697625,16
779,Nothing within a 2km radius,0
780,297.9080048747603,19
781,Nothing within a 2km radius,0
782,297.9080048747603,19
783,152.43613587350288,16
784,1893.8603217264774,1
785,848.9093293655321,11
786,1259.6987984095874,7
787,459.980517727331,20
788,1818.3798228141418,2
789,1024.5217443783126,8
790,Nothing within a 2km radius,0
791,1536.8504696330087,1
792,Nothing within a 2km radius,0
793,127.42554041227498,15
794,1533.747614552835,1
795,1325.0041439734498,3
796,765.2271706292713,5
797,627.7403521102959,19
798,1409.5951020545224,4
799,827.2939838480157,5
800,Nothing within a 2km radius,0
801,Nothing within a 2km radius,0
802,127.42554041227498,15
803,529.7511015395237,6
804,Nothing within a 2km radius,0
805,368.7424144642034,8
806,1144.2303097071742,5
807,Nothing within a 2km radius,0
808,1144.2303097071742,5
809,824.7647638681335,7
810,540.1894997542364,19
811,824.7034181391865,14
812,918.6317167033699,8
813,1152.1977470578795,8
814,1342.554449361073,4
815,459.980517727331,20
816,1134.6813267902196,5
817,1144.2303097071742,5
818,Nothing within a 2km radius,0
819,529.7511015395237,6
820,Nothing within a 2km radius,0
821,Nothing within a 2km radius,0
822,377.2128275697625,16
823,377.2128275697625,16
824,1899.0336276324886,1
825,1134.6813267902196,5
826,1144.2303097071742,5
827,1144.2303097071742,5
828,493.2320729833961,4
829,1694.0497196074064,2
830,1063.2053945026264,7
831,1079.8943554619677,5
832,1908.5536690196068,1
833,127.42554041227498,15
834,609.489238814535,13
835,609.489238814535,13
836,127.42554041227498,15
837,609.489238814535,13
838,1314.8587495978472,1
839,Nothing within a 2km radius,0
840,1430.7615739590658,1
841,1960.5239028692947,1
842,490.1812576928001,6
843,1134.6813267902196,5
844,1144.2303097071742,5
845,21.970507069846793,18
846,1826.368785997835,1
847,Nothing within a 2km radius,0
848,334.26970227996384,5
849,1422.4865376070723,1
850,459.980517727331,20
851,1740.9529588299654,2
852,918.6317167033699,8
853,523.06430491576,5
854,935.4697311300764,8
855,1542.773169290542,2
856,1422.4865376070723,1
857,1533.747614552835,1
858,Nothing within a 2km radius,0
859,562.298408643597,4
860,1533.766362891181,1
861,152.43613587350288,16
862,781.7704516371919,3
863,848.9093293655321,11
864,Nothing within a 2km radius,0
865,1965.617350482647,1
866,875.1996750413516,3
867,314.3755946305467,3
868,716.0831746502049,9
869,Nothing within a 2km radius,0
870,875.1996750413516,3
871,423.1332382726165,3
872,1128.157147131671,5
873,1533.747614552835,1
874,1152.1977470578795,8
875,152.43613587350288,16
876,523.06430491576,5
877,1020.3137860441326,6
878,499.17811349870783,4
879,459.00386487393337,20
880,590.8907829171698,19
881,590.8907829171698,19
882,496.8879926536334,19
883,1554.9403270439136,3
884,Nothing within a 2km radius,0
885,Nothing within a 2km radius,0
886,757.6697812957862,10
887,390.02911445011284,19
888,Nothing within a 2km radius,0
889,459.980517727331,20
890,Nothing within a 2km radius,0
891,627.7403521102959,19
892,1270.4236953543802,2
893,496.8879926536334,19
894,1311.230525818766,1
895,Nothing within a 2km radius,0
896,848.9093293655321,11
897,459.00386487393337,20
898,562.298408643597,4
899,540.1894997542364,19
900,496.8879926536334,19
901,390.02911445011284,19
902,377.2128275697625,16
903,1357.5165701193825,3
