nearest stattion,number of stops within 2kms
1071.156475,3
1055.236777,4
0,0
661.5439013,3
0,0
197.098594,4
1658.688216,3
1282.635058,1
369.7493304,3
1214.01093,3
661.5439013,3
819.1709318,3
894.1083131,3
0,0
749.8510899,3
0,0
1663.177336,2
0,0
717.372713,3
946.1185773,2
957.8354465,2
0,0
1227.374426,3
1370.589658,5
1284.028012,4
833.4232141,3
786.9365606,3
1144.768532,2
