nearest stattion,number of stops within 2kms
786.9365606,3
549.2486839,4
1227.374426,3
1384.271011,3
939.5838362,2
1282.442107,4
1103.082418,1
397.7355717,4
1149.764615,4
625.2921591,3
937.0492899,3
730.8303456,3
1144.768532,2
869.2291253,3
0,0
0,0
382.4746839,2
382.9375455,4
343.9799137,2
382.4746839,2
1466.752094,1
758.7258489,3
721.6366543,3
625.2921591,3
1306.669473,3
1239.583723,3
597.8868061,3
887.9657946,2
608.2855284,3
1039.333815,5
918.3454679,3
522.3713168,3
0,0
1039.333815,5
1129.847105,3
1471.656326,3
721.6366543,3
1227.374426,3
829.832873,2
709.6556486,3
990.1922349,2
944.4311478,3
292.7667481,4
292.7667481,4
819.1709318,3
887.9657946,2
808.5784574,1
619.9349887,3
929.1082977,5
1321.363816,3
1126.178155,3
305.4290387,3
53.60659381,4
674.5996625,4
1397.98472,6
674.5996625,4
292.7667481,4
833.4232141,3
445.5873709,4
692.5942288,1
1282.63633,4
602.9852875,3
1297.940774,4
1312.736208,3
392.5387462,4
777.3016179,2
1187.488034,1
1254.662259,1
1491.374171,4
71.48014145,2
892.1762139,1
425.8463761,3
1074.275612,2
875.1479159,3
425.8463761,3
480.6696042,3
713.5989656,1
1320.524761,3
1605.626073,4
523.7772895,3
1068.734183,1
732.8239677,2
959.1248869,5
1367.12351,3
733.4558146,2
523.7772895,3
1159.363301,3
1394.230572,2
1108.803473,1
345.4072118,1
285.9318804,4
1637.065466,2
661.9420193,1
1457.154978,1
573.3948431,2
0,0
284.1901869,2
687.3755773,3
1067.338877,1
292.7667481,4
1926.664586,1
873.0693047,3
0,0
1039.333815,5
734.1190414,2
687.3755773,3
208.5686463,4
1646.748166,2
449.1649664,3
480.6696042,3
873.2680263,2
479.4859755,1
347.4062787,2
0,0
538.3305051,2
786.9365606,3
756.3627666,3
786.9365606,3
786.9365606,3
756.3627666,3
790.6273218,3
790.6273218,3
825.3747579,3
757.1251474,3
1391.561628,5
1540.782732,5
894.1083131,3
1532.639176,1
1227.498769,3
343.3351434,3
1248.946218,2
918.3454679,3
464.201726,1
1201.156202,3
818.4737185,3
1131.279975,2
1333.285162,2
905.8958681,2
563.5809306,4
29.06408399,4
687.3755773,3
590.92878,4
825.3747579,3
